verb,past_form,character,type,sentence_past,sentence_future,pic1,pic2,pic3
draw,drew,Chef,Irregular,The Chef drew a picture,The Chef will draw a picture,Chef_draw_v1.png,Chef_draw_v2.png,Chef_draw_v3.png
swing,swung,Wizard,Irregular,The Wizard swung on a swing,The Wizard will swing on a swing,Wizard_swing_v1.png,Wizard_swing_v2.png,Wizard_swing_v3.png
swing,swung,Pirate,Irregular,The Pirate swung on a swing,The Pirate will swing on a swing,Pirate_swing_v1.png,Pirate_swing_v2.png,Pirate_swing_v3.png
swing,swung,Chef,Irregular,The Chef swung on a swing,The Chef will swing on a swing,Chef_swing_v1.png,Chef_swing_v2.png,Chef_swing_v3.png
sweep,swept,Wizard,Irregular,The Wizard swept the floor,The Wizard will sweep the floor,Wizard_sweep_v1.png,Wizard_sweep_v2.png,Wizard_sweep_v3.png
sweep,swept,Pirate,Irregular,The Pirate swept the floor,The Pirate will sweep the floor,Pirate_sweep_v1.png,Pirate_sweep_v2.png,Pirate_sweep_v3.png
sweep,swept,Chef,Irregular,The Chef swept the floor,The Chef will sweep the floor,Chef_sweep_v1.png,Chef_sweep_v2.png,Chef_sweep_v3.png
dig,dug,Wizard,Irregular,The Wizard dug a hole,The Wizard will dig a hole,Wizard_dig_v1.png,Wizard_dig_v2.png,Wizard_dig_v3.png
dig,dug,Pirate,Irregular,The Pirate dug a hole,The Pirate will dig a hole,Pirate_dig_v1.png,Pirate_dig_v2.png,Pirate_dig_v3.png
dig,dug,Chef,Irregular,The Chef dug a hole,The Chef will dig a hole,Chef_dig_v1.png,Chef_dig_v2.png,Chef_dig_v3.png
run,ran,Wizard,Irregular,The Wizard ran along the path,The Wizard will run along the path,Wizard_run_v1.png,Wizard_run_v2.png,Wizard_run_v3.png
run,ran,Pirate,Irregular,The Pirate ran along the path,The Pirate will run along the path,Pirate_run_v1.png,Pirate_run_v2.png,Pirate_run_v3.png
run,ran,Chef,Irregular,The Chef ran along the path,The Chef will run along the path,Chef_run_v1.png,Chef_run_v2.png,Chef_run_v3.png
write,wrote,Wizard,Irregular,The Wizard wrote a letter,The Wizard will write a letter,Wizard_write_v1.png,Wizard_write_v2.png,Wizard_write_v3.png
write,wrote,Pirate,Irregular,The Pirate wrote a letter,The Pirate will write a letter,Pirate_write_v1.png,Pirate_write_v2.png,Pirate_write_v3.png
write,wrote,Chef,Irregular,The Chef wrote a letter,The Chef will write a letter,Chef_write_v1.png,Chef_write_v2.png,Chef_write_v3.png
drive,drove,Wizard,Irregular,The Wizard drove a car,The Wizard will drive a car,Wizard_drive_v1.png,Wizard_drive_v2.png,Wizard_drive_v3.png
drive,drove,Pirate,Irregular,The Pirate drove a car,The Pirate will drive a car,Pirate_drive_v1.png,Pirate_drive_v2.png,Pirate_drive_v3.png
drive,drove,Chef,Irregular,The Chef drove a car,The Chef will drive a car,Chef_drive_v1.png,Chef_drive_v2.png,Chef_drive_v3.png
sing,sang,Wizard,Irregular,The Wizard sang a song,The Wizard will sing a song,Wizard_sing_v1.png,Wizard_sing_v2.png,Wizard_sing_v3.png
sing,sang,Pirate,Irregular,The Pirate sang a song,The Pirate will sing a song,Pirate_sing_v1.png,Pirate_sing_v2.png,Pirate_sing_v3.png
sing,sang,Chef,Irregular,The Chef sang a song,The Chef will sing a song,Chef_sing_v1.png,Chef_sing_v2.png,Chef_sing_v3.png
fly,flew,Wizard,Irregular,The Wizard flew with a jetpack,The Wizard will fly with a jetpack,Wizard_fly_v1.png,Wizard_fly_v2.png,Wizard_fly_v3.png
fly,flew,Pirate,Irregular,The Pirate flew with a jetpack,The Pirate will fly with a jetpack,Pirate_fly_v1.png,Pirate_fly_v2.png,Pirate_fly_v3.png
fly,flew,Chef,Irregular,The Chef flew with a jetpack,The Chef will fly with a jetpack,Chef_fly_v1.png,Chef_fly_v2.png,Chef_fly_v3.png
blow,blew,Wizard,Irregular,The Wizard blew bubbles,The Wizard will blow bubbles,Wizard_blow_v1.png,Wizard_blow_v2.png,Wizard_blow_v3.png
blow,blew,Pirate,Irregular,The Pirate blew bubbles,The Pirate will blow bubbles,Pirate_blow_v1.png,Pirate_blow_v2.png,Pirate_blow_v3.png
blow,blew,Chef,Irregular,The Chef blew bubbles,The Chef will blow bubbles,Chef_blow_v1.png,Chef_blow_v2.png,Chef_blow_v3.png
spin,spun,Wizard,Irregular,The Wizard spun a top,The Wizard will spin a top,Wizard_spin_v1.png,Wizard_spin_v2.png,Wizard_spin_v3.png
spin,spun,Pirate,Irregular,The Pirate spun a top,The Pirate will spin a top,Pirate_spin_v1.png,Pirate_spin_v2.png,Pirate_spin_v3.png
spin,spun,Chef,Irregular,The Chef spun a top,The Chef will spin a top,Chef_spin_v1.png,Chef_spin_v2.png,Chef_spin_v3.png
slide,slid,Wizard,Irregular,The Wizard slid down the slide,The Wizard will slide down the slide,Wizard_slide_v1.png,Wizard_slide_v2.png,Wizard_slide_v3.png
slide,slid,Pirate,Irregular,The Pirate slid down the slide,The Pirate will slide down the slide,Pirate_slide_v1.png,Pirate_slide_v2.png,Pirate_slide_v3.png
slide,slid,Chef,Irregular,The Chef slid down the slide,The Chef will slide down the slide,Chef_slide_v1.png,Chef_slide_v2.png,Chef_slide_v3.png
grind,ground,Wizard,Irregular,The Wizard ground pepper,The Wizard will grind pepper,Wizard_grind_v1.png,Wizard_grind_v2.png,Wizard_grind_v3.png
grind,ground,Pirate,Irregular,The Pirate ground pepper,The Pirate will grind pepper,Pirate_grind_v1.png,Pirate_grind_v2.png,Pirate_grind_v3.png
grind,ground,Chef,Irregular,The Chef ground pepper,The Chef will grind pepper,Chef_grind_v1.png,Chef_grind_v2.png,Chef_grind_v3.png
weave,wove,Wizard,Irregular,The Wizard wove cloth,The Wizard will weave cloth,Wizard_weave_v1.png,Wizard_weave_v2.png,Wizard_weave_v3.png
weave,wove,Pirate,Irregular,The Pirate wove cloth,The Pirate will weave cloth,Pirate_weave_v1.png,Pirate_weave_v2.png,Pirate_weave_v3.png
weave,wove,Chef,Irregular,The Chef wove cloth,The Chef will weave cloth,Chef_weave_v1.png,Chef_weave_v2.png,Chef_weave_v3.png
feed,fed,Wizard,Irregular,The Wizard fed a bird,The Wizard will feed a bird,Wizard_feed_v1.png,Wizard_feed_v2.png,Wizard_feed_v3.png
feed,fed,Pirate,Irregular,The Pirate fed a bird,The Pirate will feed a bird,Pirate_feed_v1.png,Pirate_feed_v2.png,Pirate_feed_v3.png
feed,fed,Chef,Irregular,The Chef fed a bird,The Chef will feed a bird,Chef_feed_v1.png,Chef_feed_v2.png,Chef_feed_v3.png
read,read,Wizard,Irregular,The Wizard read a book,The Wizard will read a book,Wizard_read_v1.png,Wizard_read_v2.png,Wizard_read_v3.png
read,read,Pirate,Irregular,The Pirate read a book,The Pirate will read a book,Pirate_read_v1.png,Pirate_read_v2.png,Pirate_read_v3.png
read,read,Chef,Irregular,The Chef read a book,The Chef will read a book,Chef_read_v1.png,Chef_read_v2.png,Chef_read_v3.png
shake,shook,Wizard,Irregular,The Wizard shook maracas,The Wizard will shake maracas,Wizard_shake_v1.png,Wizard_shake_v2.png,Wizard_shake_v3.png
shake,shook,Pirate,Irregular,The Pirate shook maracas,The Pirate will shake maracas,Pirate_shake_v1.png,Pirate_shake_v2.png,Pirate_shake_v3.png
shake,shook,Chef,Irregular,The Chef shook maracas,The Chef will shake maracas,Chef_shake_v1.png,Chef_shake_v2.png,Chef_shake_v3.png
sew,sewed,Wizard,Irregular,The Wizard sewed fabric,The Wizard will sew fabric,Wizard_sew_v1.png,Wizard_sew_v2.png,Wizard_sew_v3.png
sew,sewed,Pirate,Irregular,The Pirate sewed fabric,The Pirate will sew fabric,Pirate_sew_v1.png,Pirate_sew_v2.png,Pirate_sew_v3.png
sew,sewed,Chef,Irregular,The Chef sewed fabric,The Chef will sew fabric,Chef_sew_v1.png,Chef_sew_v2.png,Chef_sew_v3.png
ring,rang,Wizard,Irregular,The Wizard rang a bell,The Wizard will ring a bell,Wizard_ring_v1.png,Wizard_ring_v2.png,Wizard_ring_v3.png
ring,rang,Pirate,Irregular,The Pirate rang a bell,The Pirate will ring a bell,Pirate_ring_v1.png,Pirate_ring_v2.png,Pirate_ring_v3.png
ring,rang,Chef,Irregular,The Chef rang a bell,The Chef will ring a bell,Chef_ring_v1.png,Chef_ring_v2.png,Chef_ring_v3.png
wind,wound,Wizard,Irregular,The Wizard wound thread,The Wizard will wind thread,Wizard_wind_v1.png,Wizard_wind_v2.png,Wizard_wind_v3.png
wind,wound,Pirate,Irregular,The Pirate wound thread,The Pirate will wind thread,Pirate_wind_v1.png,Pirate_wind_v2.png,Pirate_wind_v3.png
wind,wound,Chef,Irregular,The Chef wound thread,The Chef will wind thread,Chef_wind_v1.png,Chef_wind_v2.png,Chef_wind_v3.png
play,played,Wizard,Regular,The Wizard played the guitar,The Wizard will play the guitar,Wizard_play_v1.png,Wizard_play_v2.png,Wizard_play_v3.png
play,played,Pirate,Regular,The Pirate played the guitar,The Pirate will play the guitar,Pirate_play_v1.png,Pirate_play_v2.png,Pirate_play_v3.png
play,played,Chef,Regular,The Chef played the guitar,The Chef will play the guitar,Chef_play_v1.png,Chef_play_v2.png,Chef_play_v3.png
walk,walked,Wizard,Regular,The Wizard walked along the path,The Wizard will walk along the path,Wizard_walk_v1.png,Wizard_walk_v2.png,Wizard_walk_v3.png
walk,walked,Pirate,Regular,The Pirate walked along the path,The Pirate will walk along the path,Pirate_walk_v1.png,Pirate_walk_v2.png,Pirate_walk_v3.png
walk,walked,Chef,Regular,The Chef walked along the path,The Chef will walk along the path,Chef_walk_v1.png,Chef_walk_v2.png,Chef_walk_v3.png
paint,painted,Wizard,Regular,The Wizard painted a canvas,The Wizard will paint a canvas,Wizard_paint_v1.png,Wizard_paint_v2.png,Wizard_paint_v3.png
paint,painted,Pirate,Regular,The Pirate painted a canvas,The Pirate will paint a canvas,Pirate_paint_v1.png,Pirate_paint_v2.png,Pirate_paint_v3.png
paint,painted,Chef,Regular,The Chef painted a canvas,The Chef will paint a canvas,Chef_paint_v1.png,Chef_paint_v2.png,Chef_paint_v3.png
wash,washed,Wizard,Regular,The Wizard washed a plate,The Wizard will wash a plate,Wizard_wash_v1.png,Wizard_wash_v2.png,Wizard_wash_v3.png
wash,washed,Pirate,Regular,The Pirate washed a plate,The Pirate will wash a plate,Pirate_wash_v1.png,Pirate_wash_v2.png,Pirate_wash_v3.png
wash,washed,Chef,Regular,The Chef washed a plate,The Chef will wash a plate,Chef_wash_v1.png,Chef_wash_v2.png,Chef_wash_v3.png
push,pushed,Wizard,Regular,The Wizard pushed a cart,The Wizard will push a cart,Wizard_push_v1.png,Wizard_push_v2.png,Wizard_push_v3.png
push,pushed,Pirate,Regular,The Pirate pushed a cart,The Pirate will push a cart,Pirate_push_v1.png,Pirate_push_v2.png,Pirate_push_v3.png
push,pushed,Chef,Regular,The Chef pushed a cart,The Chef will push a cart,Chef_push_v1.png,Chef_push_v2.png,Chef_push_v3.png
cook,cooked,Wizard,Regular,The Wizard cooked dinner,The Wizard will cook dinner,Wizard_cook_v1.png,Wizard_cook_v2.png,Wizard_cook_v3.png
cook,cooked,Pirate,Regular,The Pirate cooked dinner,The Pirate will cook dinner,Pirate_cook_v1.png,Pirate_cook_v2.png,Pirate_cook_v3.png
cook,cooked,Chef,Regular,The Chef cooked dinner,The Chef will cook dinner,Chef_cook_v1.png,Chef_cook_v2.png,Chef_cook_v3.png
stir,stirred,Wizard,Regular,The Wizard stirred the mixture,The Wizard will stir the mixture,Wizard_stir_v1.png,Wizard_stir_v2.png,Wizard_stir_v3.png
stir,stirred,Pirate,Regular,The Pirate stirred the mixture,The Pirate will stir the mixture,Pirate_stir_v1.png,Pirate_stir_v2.png,Pirate_stir_v3.png
stir,stirred,Chef,Regular,The Chef stirred the mixture,The Chef will stir the mixture,Chef_stir_v1.png,Chef_stir_v2.png,Chef_stir_v3.png
climb,climbed,Wizard,Regular,The Wizard climbed a ladder,The Wizard will climb a ladder,Wizard_climb_v1.png,Wizard_climb_v2.png,Wizard_climb_v3.png
climb,climbed,Pirate,Regular,The Pirate climbed a ladder,The Pirate will climb a ladder,Pirate_climb_v1.png,Pirate_climb_v2.png,Pirate_climb_v3.png
climb,climbed,Chef,Regular,The Chef climbed a ladder,The Chef will climb a ladder,Chef_climb_v1.png,Chef_climb_v2.png,Chef_climb_v3.png
peel,peeled,Wizard,Regular,The Wizard peeled a banana,The Wizard will peel a banana,Wizard_peel_v1.png,Wizard_peel_v2.png,Wizard_peel_v3.png
peel,peeled,Pirate,Regular,The Pirate peeled a banana,The Pirate will peel a banana,Pirate_peel_v1.png,Pirate_peel_v2.png,Pirate_peel_v3.png
peel,peeled,Chef,Regular,The Chef peeled a banana,The Chef will peel a banana,Chef_peel_v1.png,Chef_peel_v2.png,Chef_peel_v3.png
dance,danced,Wizard,Regular,The Wizard danced a dance,The Wizard will dance a dance,Wizard_dance_v1.png,Wizard_dance_v2.png,Wizard_dance_v3.png
dance,danced,Pirate,Regular,The Pirate danced a dance,The Pirate will dance a dance,Pirate_dance_v1.png,Pirate_dance_v2.png,Pirate_dance_v3.png
dance,danced,Chef,Regular,The Chef danced a dance,The Chef will dance a dance,Chef_dance_v1.png,Chef_dance_v2.png,Chef_dance_v3.png
carry,carried,Wizard,Regular,The Wizard carried a box,The Wizard will carry a box,Wizard_carry_v1.png,Wizard_carry_v2.png,Wizard_carry_v3.png
carry,carried,Pirate,Regular,The Pirate carried a box,The Pirate will carry a box,Pirate_carry_v1.png,Pirate_carry_v2.png,Pirate_carry_v3.png
carry,carried,Chef,Regular,The Chef carried a box,The Chef will carry a box,Chef_carry_v1.png,Chef_carry_v2.png,Chef_carry_v3.png
pull,pulled,Wizard,Regular,The Wizard pulled a wagon,The Wizard will pull a wagon,Wizard_pull_v1.png,Wizard_pull_v2.png,Wizard_pull_v3.png
pull,pulled,Pirate,Regular,The Pirate pulled a wagon,The Pirate will pull a wagon,Pirate_pull_v1.png,Pirate_pull_v2.png,Pirate_pull_v3.png
pull,pulled,Chef,Regular,The Chef pulled a wagon,The Chef will pull a wagon,Chef_pull_v1.png,Chef_pull_v2.png,Chef_pull_v3.png
pour,poured,Wizard,Regular,The Wizard poured water,The Wizard will pour water,Wizard_pour_v1.png,Wizard_pour_v2.png,Wizard_pour_v3.png
pour,poured,Pirate,Regular,The Pirate poured water,The Pirate will pour water,Pirate_pour_v1.png,Pirate_pour_v2.png,Pirate_pour_v3.png
pour,poured,Chef,Regular,The Chef poured water,The Chef will pour water,Chef_pour_v1.png,Chef_pour_v2.png,Chef_pour_v3.png
row,rowed,Wizard,Regular,The Wizard rowed a boat,The Wizard will row a boat,Wizard_row_v1.png,Wizard_row_v2.png,Wizard_row_v3.png
row,rowed,Pirate,Regular,The Pirate rowed a boat,The Pirate will row a boat,Pirate_row_v1.png,Pirate_row_v2.png,Pirate_row_v3.png
row,rowed,Chef,Regular,The Chef rowed a boat,The Chef will row a boat,Chef_row_v1.png,Chef_row_v2.png,Chef_row_v3.png
scrub,scrubbed,Wizard,Regular,The Wizard scrubbed the floor,The Wizard will scrub the floor,Wizard_scrub_v1.png,Wizard_scrub_v2.png,Wizard_scrub_v3.png
scrub,scrubbed,Pirate,Regular,The Pirate scrubbed the floor,The Pirate will scrub the floor,Pirate_scrub_v1.png,Pirate_scrub_v2.png,Pirate_scrub_v3.png
scrub,scrubbed,Chef,Regular,The Chef scrubbed the floor,The Chef will scrub the floor,Chef_scrub_v1.png,Chef_scrub_v2.png,Chef_scrub_v3.png
polish,polished,Wizard,Regular,The Wizard polished a shoe,The Wizard will polish a shoe,Wizard_polish_v1.png,Wizard_polish_v2.png,Wizard_polish_v3.png
polish,polished,Pirate,Regular,The Pirate polished a shoe,The Pirate will polish a shoe,Pirate_polish_v1.png,Pirate_polish_v2.png,Pirate_polish_v3.png
polish,polished,Chef,Regular,The Chef polished a shoe,The Chef will polish a shoe,Chef_polish_v1.png,Chef_polish_v2.png,Chef_polish_v3.png
mop,mopped,Wizard,Regular,The Wizard mopped the floor,The Wizard will mop the floor,Wizard_mop_v1.png,Wizard_mop_v2.png,Wizard_mop_v3.png
mop,mopped,Pirate,Regular,The Pirate mopped the floor,The Pirate will mop the floor,Pirate_mop_v1.png,Pirate_mop_v2.png,Pirate_mop_v3.png
mop,mopped,Chef,Regular,The Chef mopped the floor,The Chef will mop the floor,Chef_mop_v1.png,Chef_mop_v2.png,Chef_mop_v3.png
knit,knitted,Wizard,Regular,The Wizard knitted a scarf,The Wizard will knit a scarf,Wizard_knit_v1.png,Wizard_knit_v2.png,Wizard_knit_v3.png
knit,knitted,Pirate,Regular,The Pirate knitted a scarf,The Pirate will knit a scarf,Pirate_knit_v1.png,Pirate_knit_v2.png,Pirate_knit_v3.png
knit,knitted,Chef,Regular,The Chef knitted a scarf,The Chef will knit a scarf,Chef_knit_v1.png,Chef_knit_v2.png,Chef_knit_v3.png
roll,rolled,Wizard,Regular,The Wizard rolled dough,The Wizard will roll dough,Wizard_roll_v1.png,Wizard_roll_v2.png,Wizard_roll_v3.png
roll,rolled,Pirate,Regular,The Pirate rolled dough,The Pirate will roll dough,Pirate_roll_v1.png,Pirate_roll_v2.png,Pirate_roll_v3.png
roll,rolled,Chef,Regular,The Chef rolled dough,The Chef will roll dough,Chef_roll_v1.png,Chef_roll_v2.png,Chef_roll_v3.png
spray,sprayed,Wizard,Regular,The Wizard sprayed water,The Wizard will spray water,Wizard_spray_v1.png,Wizard_spray_v2.png,Wizard_spray_v3.png
spray,sprayed,Pirate,Regular,The Pirate sprayed water,The Pirate will spray water,Pirate_spray_v1.png,Pirate_spray_v2.png,Pirate_spray_v3.png
spray,sprayed,Chef,Regular,The Chef sprayed water,The Chef will spray water,Chef_spray_v1.png,Chef_spray_v2.png,Chef_spray_v3.png
wipe,wiped,Wizard,Regular,The Wizard wiped the table,The Wizard will wipe the table,Wizard_wipe_v1.png,Wizard_wipe_v2.png,Wizard_wipe_v3.png
wipe,wiped,Pirate,Regular,The Pirate wiped the table,The Pirate will wipe the table,Pirate_wipe_v1.png,Pirate_wipe_v2.png,Pirate_wipe_v3.png
wipe,wiped,Chef,Regular,The Chef wiped the table,The Chef will wipe the table,Chef_wipe_v1.png,Chef_wipe_v2.png,Chef_wipe_v3.png
brush,brushed,Wizard,Regular,The Wizard brushed hair,The Wizard will brush hair,Wizard_brush_v1.png,Wizard_brush_v2.png,Wizard_brush_v3.png
brush,brushed,Pirate,Regular,The Pirate brushed hair,The Pirate will brush hair,Pirate_brush_v1.png,Pirate_brush_v2.png,Pirate_brush_v3.png
brush,brushed,Chef,Regular,The Chef brushed hair,The Chef will brush hair,Chef_brush_v1.png,Chef_brush_v2.png,Chef_brush_v3.png
dust,dusted,Wizard,Regular,The Wizard dusted the shelf,The Wizard will dust the shelf,Wizard_dust_v1.png,Wizard_dust_v2.png,Wizard_dust_v3.png
dust,dusted,Pirate,Regular,The Pirate dusted the shelf,The Pirate will dust the shelf,Pirate_dust_v1.png,Pirate_dust_v2.png,Pirate_dust_v3.png
dust,dusted,Chef,Regular,The Chef dusted the shelf,The Chef will dust the shelf,Chef_dust_v1.png,Chef_dust_v2.png,Chef_dust_v3.png
fold,folded,Wizard,Regular,The Wizard folded a shirt,The Wizard will fold a shirt,Wizard_fold_v1.png,Wizard_fold_v2.png,Wizard_fold_v3.png
fold,folded,Pirate,Regular,The Pirate folded a shirt,The Pirate will fold a shirt,Pirate_fold_v1.png,Pirate_fold_v2.png,Pirate_fold_v3.png
fold,folded,Chef,Regular,The Chef folded a shirt,The Chef will fold a shirt,Chef_fold_v1.png,Chef_fold_v2.png,Chef_fold_v3.png
iron,ironed,Wizard,Regular,The Wizard ironed a shirt,The Wizard will iron a shirt,Wizard_iron_v1.png,Wizard_iron_v2.png,Wizard_iron_v3.png
iron,ironed,Pirate,Regular,The Pirate ironed a shirt,The Pirate will iron a shirt,Pirate_iron_v1.png,Pirate_iron_v2.png,Pirate_iron_v3.png
iron,ironed,Chef,Regular,The Chef ironed a shirt,The Chef will iron a shirt,Chef_iron_v1.png,Chef_iron_v2.png,Chef_iron_v3.png
water,watered,Wizard,Regular,The Wizard watered a plant,The Wizard will water a plant,Wizard_water_v1.png,Wizard_water_v2.png,Wizard_water_v3.png
water,watered,Pirate,Regular,The Pirate watered a plant,The Pirate will water a plant,Pirate_water_v1.png,Pirate_water_v2.png,Pirate_water_v3.png
water,watered,Chef,Regular,The Chef watered a plant,The Chef will water a plant,Chef_water_v1.png,Chef_water_v2.png,Chef_water_v3.png
sketch,sketched,Wizard,Regular,The Wizard sketched a sketch,The Wizard will sketch a sketch,Wizard_sketch_v1.png,Wizard_sketch_v2.png,Wizard_sketch_v3.png
sketch,sketched,Pirate,Regular,The Pirate sketched a sketch,The Pirate will sketch a sketch,Pirate_sketch_v1.png,Pirate_sketch_v2.png,Pirate_sketch_v3.png
sketch,sketched,Chef,Regular,The Chef sketched a sketch,The Chef will sketch a sketch,Chef_sketch_v1.png,Chef_sketch_v2.png,Chef_sketch_v3.png
type,typed,Wizard,Regular,The Wizard typed on the keyboard,The Wizard will type on the keyboard,Wizard_type_v1.png,Wizard_type_v2.png,Wizard_type_v3.png
type,typed,Pirate,Regular,The Pirate typed on the keyboard,The Pirate will type on the keyboard,Pirate_type_v1.png,Pirate_type_v2.png,Pirate_type_v3.png
type,typed,Chef,Regular,The Chef typed on the keyboard,The Chef will type on the keyboard,Chef_type_v1.png,Chef_type_v2.png,Chef_type_v3.png
chew,chewed,Wizard,Regular,The Wizard chewed gum,The Wizard will chew gum,Wizard_chew_v1.png,Wizard_chew_v2.png,Wizard_chew_v3.png
chew,chewed,Pirate,Regular,The Pirate chewed gum,The Pirate will chew gum,Pirate_chew_v1.png,Pirate_chew_v2.png,Pirate_chew_v3.png
chew,chewed,Chef,Regular,The Chef chewed gum,The Chef will chew gum,Chef_chew_v1.png,Chef_chew_v2.png,Chef_chew_v3.png
sip,sipped,Wizard,Regular,The Wizard sipped a drink,The Wizard will sip a drink,Wizard_sip_v1.png,Wizard_sip_v2.png,Wizard_sip_v3.png
sip,sipped,Pirate,Regular,The Pirate sipped a drink,The Pirate will sip a drink,Pirate_sip_v1.png,Pirate_sip_v2.png,Pirate_sip_v3.png
sip,sipped,Chef,Regular,The Chef sipped a drink,The Chef will sip a drink,Chef_sip_v1.png,Chef_sip_v2.png,Chef_sip_v3.png
hum,hummed,Wizard,Regular,The Wizard hummed a tune,The Wizard will hum a tune,Wizard_hum_v1.png,Wizard_hum_v2.png,Wizard_hum_v3.png
hum,hummed,Pirate,Regular,The Pirate hummed a tune,The Pirate will hum a tune,Pirate_hum_v1.png,Pirate_hum_v2.png,Pirate_hum_v3.png
hum,hummed,Chef,Regular,The Chef hummed a tune,The Chef will hum a tune,Chef_hum_v1.png,Chef_hum_v2.png,Chef_hum_v3.png
rock,rocked,Wizard,Regular,The Wizard rocked the chair,The Wizard will rock the chair,Wizard_rock_v1.png,Wizard_rock_v2.png,Wizard_rock_v3.png
rock,rocked,Pirate,Regular,The Pirate rocked the chair,The Pirate will rock the chair,Pirate_rock_v1.png,Pirate_rock_v2.png,Pirate_rock_v3.png
rock,rocked,Chef,Regular,The Chef rocked the chair,The Chef will rock the chair,Chef_rock_v1.png,Chef_rock_v2.png,Chef_rock_v3.png
drag,dragged,Wizard,Regular,The Wizard dragged a sack,The Wizard will drag a sack,Wizard_drag_v1.png,Wizard_drag_v2.png,Wizard_drag_v3.png
drag,dragged,Pirate,Regular,The Pirate dragged a sack,The Pirate will drag a sack,Pirate_drag_v1.png,Pirate_drag_v2.png,Pirate_drag_v3.png
drag,dragged,Chef,Regular,The Chef dragged a sack,The Chef will drag a sack,Chef_drag_v1.png,Chef_drag_v2.png,Chef_drag_v3.png
